Alloy,Temperature (K),C (wt.%),Cr (wt.%),Mn (wt.%),Mo (wt.%),N (wt.%),Ni (wt.%),Si (wt.%),Al (wt.%),Source paper
Yonezawa-01,300.0,0.023,16.85,0.85,2.33,0.006,13.93,0.02,0.0,Yonezawa (2013)
Hultman-02,300.0,0.026,20.3,0.031,0.0,0.022,29.4,0.037,0.026,Hultman (2016)
Olson1976-03,241.3,0.0,18.0,0.0,0.0,0.0,14.0,0.0,0.0,Olson1976
Tian-04,300.0,0.1497,0.0,31.2843,0.0,0.0,0.0,2.7212,0.0,Tian (2009)
Gavriljuk-05,300.0,0.4,18.48,9.64,0.0,0.066,16.3,0.45,0.0,Gavriljuk (1998)
Fawley-06,300.0,0.017,25.0,0.0,0.0,0.047,20.0,0.0,0.0,Fawley (1968)
Petrov-07,300.0,0.0,18.5,9.6,0.0,0.54,16.1,0.0,0.0,Petrov (2003)
Hultman-08,300.0,0.039,20.5,8.2,0.0,0.029,13.3,0.05,0.0,Hultman (2016)
Dulieu1964-09,300.0,0.05,8.5,0.025,0.0,0.0,11.84,0.14,0.0,Dulieu1964
Lehnhoff-10,300.0,0.028,11.06,1.09,0.0,0.0034,15.05,0.002,0.05,Lehnhoff (2014)
TianX-11,300.0,0.68,0.0,24.8,0.0,0.0,0.0,0.0,6.27,Tian X (2008)
Ojima2009-12,300.0,0.01,19.13,0.01,0.01,0.0,9.96,0.01,0.0,Ojima2009
Bracke-13,300.0,0.25,5.6,16.2,0.0,0.114,0.0,0.14,0.0,Bracke (2007)
Stoltz-14,300.0,0.018,18.2,8.96,0.0,0.52,7.46,0.24,0.0,Stoltz (1980)
Petrov-15,300.0,0.0,15.0,17.0,0.0,0.06,0.0,0.0,0.0,Petrov (2003)
Gavriljuk-16,132.79,0.4,18.48,9.64,0.0,0.066,16.3,0.45,0.0,Gavriljuk (1998)
Gavriljuk-17,173.29,0.03,18.48,9.64,0.0,0.398,16.3,0.45,0.0,Gavriljuk (1998)
Lee-18,300.0,0.03,17.54,9.82,0.0,0.69,0.0,0.17,0.0,Lee (2010)
Kim-19,300.0,0.15,0.0,25.0,0.0,0.0,0.0,0.0,1.5,Kim (2011)-2
Pierce-20,300.0,0.0071,0.0,27.5,0.0,0.0,0.0,2.89,2.74,Pierce (2014)
